id,company_name,signup_date,plan_tier,geography,industry,acquisition_channel,status,archetype
1,Ultra,2023-04-15,Basic,US,saas_tech,paid_ads,churned,steady_grower
2,Auto,2023-05-16,Basic,EU,financial_services,paid_ads,churned,failed_adoption
3,Global Partners,2023-03-28,Enterprise,EU,marketing_agency,referral,active,seasonal_business
4,Mobile,2023-02-05,Basic,US,saas_tech,organic_search,churned,failed_adoption
5,Super LLC,2023-03-20,Enterprise,EU,ecommerce,paid_ads,active,steady_grower
6,Prime Dynamics,2023-01-01,Basic,EU,saas_tech,referral,active,price_sensitive
7,Digital,2023-05-13,Enterprise,US,other,paid_ads,churned,enterprise_pilot
8,Dynamic,2023-04-02,Pro,US,saas_tech,partner,active,seasonal_business
9,Beta Inc,2023-04-07,Basic,US,healthcare,direct,churned,seasonal_business
10,Prime,2023-05-05,Enterprise,EU,financial_services,direct,churned,enterprise_pilot
11,Agile Dynamics,2023-03-15,Enterprise,US,financial_services,referral,active,enterprise_pilot
12,Quick,2023-06-01,Basic,US,ecommerce,paid_ads,churned,price_sensitive
13,Auto,2023-03-07,Basic,US,saas_tech,referral,churned,price_sensitive
14,Zenith Analytics,2023-01-08,Basic,EU,ecommerce,direct,churned,seasonal_business
15,Ultra Partners,2023-05-21,Enterprise,US,ecommerce,paid_ads,active,price_sensitive
16,Quick Solutions,2023-02-19,Enterprise,US,saas_tech,organic_search,active,seasonal_business
17,Hyper Intelligence,2023-03-03,Basic,EU,saas_tech,referral,churned,enterprise_pilot
18,Web Solutions,2023-04-17,Basic,US,saas_tech,content_marketing,active,price_sensitive
19,Vertex Intelligence,2023-04-13,Basic,US,saas_tech,content_marketing,churned,price_sensitive
20,Data Analytics,2023-01-04,Basic,EU,saas_tech,referral,active,price_sensitive
21,Tech Analytics,2023-01-30,Enterprise,EU,marketing_agency,paid_ads,churned,steady_grower
22,Prime Studio,2023-01-13,Enterprise,EU,saas_tech,organic_search,churned,enterprise_pilot
23,Beta Insights,2023-02-19,Basic,EU,healthcare,organic_search,churned,enterprise_pilot
24,Summit,2023-04-12,Enterprise,US,marketing_agency,referral,active,enterprise_pilot
25,Nova,2023-01-26,Enterprise,EU,financial_services,direct,churned,seasonal_business
26,Digital Partners,2023-01-01,Basic,US,saas_tech,referral,churned,price_sensitive
27,Quantum,2023-01-21,Basic,US,ecommerce,direct,churned,failed_adoption
28,Global Solutions,2023-03-09,Basic,EU,healthcare,organic_search,churned,failed_adoption
29,Rapid Analytics,2023-02-03,Basic,EU,marketing_agency,direct,churned,failed_adoption
30,Elite,2023-01-23,Enterprise,US,marketing_agency,organic_search,active,price_sensitive
31,Mega Hub,2023-06-02,Basic,EU,saas_tech,organic_search,churned,price_sensitive
32,Dynamic,2023-03-06,Basic,EU,saas_tech,paid_ads,churned,failed_adoption
33,Data Ventures,2023-06-08,Enterprise,EU,ecommerce,referral,active,steady_grower
34,Agile Labs,2023-03-13,Enterprise,US,ecommerce,partner,active,price_sensitive
35,Smart Corp,2023-04-11,Enterprise,US,financial_services,referral,active,enterprise_pilot
36,Beta Data,2023-01-26,Enterprise,US,saas_tech,partner,active,seasonal_business
37,Ultra,2023-05-09,Basic,US,manufacturing,organic_search,active,seasonal_business
38,Gamma Intelligence,2023-06-04,Pro,EU,ecommerce,referral,churned,seasonal_business
39,Hyper Systems,2023-04-03,Enterprise,EU,manufacturing,organic_search,churned,seasonal_business
40,Prime Dynamics,2023-06-12,Enterprise,EU,ecommerce,referral,churned,enterprise_pilot
41,Fast,2023-01-19,Enterprise,EU,saas_tech,paid_ads,active,enterprise_pilot
42,Data,2023-04-03,Pro,EU,saas_tech,organic_search,churned,seasonal_business
